company,domain,date,channel,batch
ЗЕНИТ-НОВА,zenitnova.by,2026-09-22,email,1
Mandarin,mandarin.io,2026-09-22,email,1
CARIN CASA,carincasa.ru,2026-09-22,email,1
ProLabSupport,prolabsupport.kz,2026-09-22,email,1
Фурса,,2026-09-22,email,1
КБГМ,kbgm.ru,2026-09-22,email,1
СЕНСИС,sensis.ru,2026-09-22,email,1
CONSO,conso.market,2026-09-22,email,1
БИОТЕХНО,biotechno.ru,2026-09-22,email,1
ИНТЕРТУЛМАШ,itmash.ru,2026-09-22,email,1
РБМ-СТРОЙ,snabway.ru,2026-09-22,email,1
ГрандБизнесПроект,,2026-09-22,email,1
Параллели,autopll.ru,2026-09-22,email,1
ИНКОР,incor66.ru,2026-09-22,email,1
TextileData,textiledata.ru,2026-09-22,email,1
АВИДО,avido.by,2026-09-22,email,1
Локальные Системы,lsys.by,2026-09-22,email,1
Инфинити Групп,infinityinc.net,2026-09-22,email,1
ВИЛАНД,,2026-09-22,email,1
Арианстар,arianstar.ru,2026-09-22,email,1
МЕЙКИНИМ,,2026-09-22,email,1
Костромской завод полимерной упаковки,mptech.pro kzpu.pro,2026-09-24,email,2
Плитстройторг,plitstroytorg.ru,2026-09-24,email,2
ТСТ,tst-ur.ru,2026-09-24,email,2
АМК-Метиз,amk-metiz.kz,2026-09-24,whatsapp+email,2
WELDING COMPANY,svarka.kz,2026-09-24,whatsapp,2
АМК Групп,amkgrup.ru chzmk.com,2026-09-24,email,2r
ДИО Логистик,diologistic.ru,2026-09-24,email,2r
УралМеталлинвест,metall-invest.kz,2026-09-24,email,2
ПК Царь-Упаковка,kingpack.ru,2026-09-24,email,2r
ПНПК,pnpc.ru,2026-09-24,email,2r
Cheber Group (АйнекСервис),,2026-09-24,whatsapp,2
Агротоп,agrotop.kz,2026-09-24,whatsapp,3
KAZPAN,kazpan.com,2026-09-25,whatsapp,3
Profland,profland.kz,2026-09-25,whatsapp,3
SAFEMENT,safement.kz,2026-09-25,whatsapp,3
CBC-Астана,cbc-astana.kz,2026-09-25,whatsapp,3
NURTAU distribution company,ndc.kz,2026-09-25,whatsapp,3
AZMT,azmt.kz,2026-09-24,whatsapp,2
Завод Промышленных Сит ПМК,1pmk.kz,2026-09-24,whatsapp,2
